Pays;latitude;longitude
Afrique Centrale;1.614691; 19.105782
Afrique de l'Est;4.458415; 35.915736
Afrique de l'Ouest;18.903972; -3.530527
Afrique du Nord;29.208374; 10.213753
Afrique du Sud;-28.704533; 24.678559
Amerique Centrale;13.176439; -84.955602
Amerique du Sud;-17.802814; -57.776676
Amerique du Nord;53.747964; -113.044034
Asie Centrale;44.137991; 68.112273
Asie de l'Est;31.516462; 104.595847
Asie de l'Ouest;33.659673; 44.413142
Asie du Sud;-6.210615; 106.844613
Asie du Sud Est;15.399940; 101.520076
Australie - Nouvelle Zelande;-25.180254; 134.163473
Caraibes;19.077486; -73.815818
Europe l'Est;48.404817; 22.176327
Europe de l'Ouest;46.691465; 2.156067
Europe du Nord;64.549963; 16.107042
Europe du Sud;38.722984; -9.138576
Melanesie;-7.455719; 146.505654
Micronesie;7.574333; 151.827955
Polynesie;-14.902576; -144.844767